# dbox2d conformance trace v1 kind=function name=collide_segment_and_circle ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 bedc1b1e 3d94cdf2 3e89fefa 3d3a2f18 3f9d70bc bfa2f2c6 bf384fde bf31aa6c bde4f8fe bde7a29c 3e716b16 3f98e297 bfa16f68 3f7ed6b9 3dc2d911 | bf2a5e41 3f3f13e3 00000000 1 3f98c16e bfbf7ee9 bd15e9b0 be64611b ba84a200 be707c0b be3090bb 0
case 97 3d5dc85c 3e9fedfe 3d5a3324 3ea02d82 bfa95750 bfb2f368 3ec8a2cb bf6b868e 3e225d44 3ea25f44 3fb31d26 bfb31892 bfa644ba bf3cd7ae 3f2cd7a9 | bf7d84ee be0e3591 00000000 1 bf2defc5 bfa3a5b1 3f24bedb 3df4db6c 3f38415f 3ca7c230 bf2d2aab 0
case 98 3e54dc0e bd5c129f be7108e0 be217cd6 3f00d700 400c0998 3f800000 00000000 bd5d9356 3e05e70c 3e39cca7 3ef7c75f 400e1801 3f800000 00000000 | 00000000 00000000 00000000 0
case 99 3eb6a3a7 bc5053b0 be233386 3e1f9afa 403c72f8 3e09b900 bf650288 3ee4d3bd 3dfe3acc 3c90a450 3e0af249 403caa78 3e2ff736 bf1ff463 bf47e053 | 3f33ddbc 3f362a48 00000000 1 40356601 3c5cc8f8 bde19ed2 bdf7d8e1 bde88ed2 be222aa6 be04cce4 0
case 100 bcc3f968 3f0769e1 be0ef8bc bea503a2 3fa514ca bef1e7e4 3dd60b2c bf7e9917 bdb64d6e 3db18096 3ed3d040 3f2beee6 bd432d48 3f7a6d6e be547e51 | 00000000 00000000 00000000 0
case 101 3fa352d2 3ec22f4a bf87cdda bf23ebab bfed13d8 bfcb7b98 3f7f703e 3d879362 3ef8f3f2 3d86c910 3faf455e c06db21e 3da12e30 bf74ad86 be969517 | 00000000 00000000 00000000 0
case 102 bde3badf 3f1cb485 bd2e3196 beff53af bfbb1e76 bef3cde8 3f800000 00000000 3e0c7be6 3e0ea8b8 3dd84617 bf3d08e2 bf2c891f 3f800000 00000000 | 00000000 00000000 00000000 0
case 103 be8bc686 bf1ba39e 3e4a8573 3f1dbb96 bed2cda0 bf6a4fd4 3f3a5b96 bf2f84c5 bdbc6f13 bcaae488 3ecab9ae 3e7573dc bf0b296f beaf9739 bf707977 | 3f0978fb 3f57f4e9 00000000 1 3dc65eb8 bf3174ff 3f0232a7 3e636b53 be124480 be192e41 be5c89ac 0
case 104 bd63487e 3ef6e8fe 3e845fc6 becc03c2 3dc46980 3f9b96b6 bf7f6208 bd8e1c4f bcc5ab20 3e0cea4e 3ee5cbe4 3f5de73e 40bce1ca bf411e2a 3f280d57 | 00000000 00000000 00000000 0
case 105 3f357792 3f55874e bf0ea5c4 bf84371a c1195973 40ff9580 bf0a1f2e bf578ac4 be19a534 3eef47de 00000000 405b32e4 41397f66 3eba9c2c bf6e640b | 00000000 00000000 00000000 0
case 106 3e95284b bf09c4a5 be8d4755 3f14d0fb 3fd3c0a8 bf6167c0 3f800000 00000000 3d8eaeb8 3d31ffcc 3ea297de 40c8f53c bffaed89 3f800000 00000000 | 00000000 00000000 00000000 0
case 107 bed52638 be3e76e0 3ec7b1d0 bcc71b4c c0238bc7 3e44c980 3eb46755 bf6f950d 3c81a438 be15b32c 3e8644a6 3fec8936 bfcb68d2 bf548743 bf0eb726 | 00000000 00000000 00000000 0
case 108 bc169da8 be84fb1c 3d9b5d2f 3e50005e bed4fba8 bf981eb0 3f19a9ad bf4cc0bd bd07d910 bd2dfc90 3e84d824 beb1f04f bf795e9d bf6ac6e9 becc1d83 | bee440ca 3f652730 00000000 1 be6414d2 bf929dae 3e45e27e 3d302046 3dff9798 be2f72fa bc9fe9e8 0
case 109 bf2caf32 40075284 3f9fce6c c019efca c00fe420 40eba458 be6e9335 bf78f47f bec1c384 3edee7be 3ea97253 bfd8ccec 40db7bc0 3f2c6182 3f3d438e | 3e2a5928 bf7c6ecd 00000000 1 c014876a 40e57450 bd946948 be4600fc bf2083d1 3e9f8902 bd699120 0
case 110 bbc39d00 3e943ed7 3e67b413 be93b523 3f6ffbe0 bfb2de65 3f800000 00000000 3d01829c 3e04096e 3ed1c1be 3f93e1f9 bfba0c5b 3f800000 00000000 | 3f6d8b3c 3ebee194 00000000 1 3f6ca3ae bfb70c2f bc560c64 bd05b94c be6c810e 3cc00ae8 be81bdb3 0
case 111 be81e089 3ee8c46a 3ecfd6a5 bf190971 c00db39c c03e7cfd 3d36dab3 bf7fbeaa 3da7e21e bd67536a 3e8c0bb2 c00e5ea7 c0301a8f beda29a0 bf6798e3 | bf117ff2 3f52a1c7 00000000 1 c00acec6 c0406fb0 3d393594 bcf9594d 3d63f854 be82a905 bd46a878 0
case 112 3ea90f25 be562587 be53351a 3e230553 3ec2a788 bf9c9eb9 bf484bea bf1f6d93 3d559678 bdd9b41a 3e6e8610 3ec3b060 bfa169bd 3cb35a1f 3f7ff04c | bd90762c 3f7f5cc1 00000000 1 3eff3cd2 bfab20d3 3df25526 bde821a6 3dee31c6 bd9b7166 be5af5a3 0
case 113 be989ac9 be01db89 be98da9b be02c081 c043e288 405bf2b8 bf350cb7 bf34fd2f 3e418d84 be862b0c 3f2707ce c0429b84 40540cff 3f70ade2 beae770d | 00000000 00000000 00000000 0
case 114 3e80f116 3eeeb69c bea1bd72 bf0ab1e8 bf26574c 3fe836d0 3f800000 00000000 bd6749d0 3d83cea2 3ed51d44 bf266703 3fe36a0a 3f800000 00000000 | bf5f0deb 3efb423f 00000000 1 bf008030 3fdce864 3e175c71 bdb4e6c3 3e179b4d bd5034c6 beb9dde7 0
case 115 be5938e6 bf360fe9 3e1c683a 3f223fcf 3f57cbb0 bee365c8 3f728983 bea3d9aa bc8f3788 bdb888a4 3dfa6c5c 3f5cccc7 bed30335 3ec8b9d9 3f6b81a6 | 3f54a061 bf0e91b8 00000000 1 3f57b4f8 becc664a b9b5bde0 3d37fbf4 bca2f9d8 3c539d70 bc5e09a0 0
case 116 be2b6598 bf26fbb6 3ead9bfc 3f11d4b2 be127d28 3f0b9c18 3f52f23e 3f110b30 3cc27188 3e115e56 3ecaac2e be606cac be4d98b0 3f5819f3 3f093eba | bf7a681b be54e284 00000000 1 3db95af8 3c1bf040 3e6f2aa4 bf092c57 3e9e8d14 3e5757b4 bd33af78 0
case 117 c0007c73 bf0f81b2 3fff2122 3f8d8fa5 409ac7b6 40aaf8d6 bda4f42d bf7f2b15 bef347e7 3e135d28 3f9a20b4 40bf49c0 40f227f4 3da6563a bf7f277d | 00000000 00000000 00000000 0
case 118 3ee1f1f7 3a469640 bec19537 3c9e1afe c03954f3 401800b0 3f800000 00000000 3debf774 bdbc7d7a 3e7b252a c0514f44 3fdcd761 3f800000 00000000 | 00000000 00000000 00000000 0
case 119 be31fb60 3e6f2f0e 3e97e97b bd3f109a c0096993 3f9ece40 beef1169 3f62611f bd2fbfc6 3e03f16e 3d9d65a2 c02b3f92 3f356d62 bf76af25 3e88dd2d | 00000000 00000000 00000000 0
case 120 3f2953f1 3e5ce5cc bf329e43 bbe770d0 be1bc538 3f9398a8 be91afd6 3f756aee bdffe600 3dfdd130 3ece37b6 c0916480 403dac88 bd80f055 bf7f7dfd | 00000000 00000000 00000000 0
case 121 bf122088 3ece2f97 3e49f924 bf905d5f c1139667 40c6d30c 3f6d0b4d bec159a3 be6d85dc 3e9b7336 00000000 4024b2cc beb2c9d0 bf72a384 3ea33f63 | 00000000 00000000 00000000 0
case 122 3f494538 bd7f90aa bf28b036 3e8437c5 3e42b980 40025b84 3f800000 00000000 bdfd892f bd4bb998 3e4461bc 408b7fb1 be74f850 3f800000 00000000 | 00000000 00000000 00000000 0
case 123 3e6952a8 bee439d0 be9b93bc 3ebec404 bf821e04 3ecdd598 3d719f5b 3f7f8de0 3de150f8 bdb6ebd5 3ec0b31a c09c4de2 404a2e3c 3f573b35 bf0a9b06 | 00000000 00000000 00000000 0
case 124 3f12dd04 becd15aa bf24c802 3e6ce82c 3c8e2100 3e9b1738 bee5adf3 3f64cbe6 bd95bb93 3d80f034 3eadb576 be4e976e 3eb54cea bf1219d1 bf523729 | bf7ff9ee 3c5eea80 00000000 1 3e2e5229 3ebfb3a3 3e1c8e09 3d9271ad 3ebe74cc 3ca66b94 bdf89416 0
case 125 3e1bcce8 3f2a405d be592f64 bf9fb884 c105904b c042d486 3eda78e4 3f678635 bed27ba5 be60e5c2 3f9bff78 c0fead4d c019cb4c 3f6b98ed bec84c6f | 3f169dc1 3f4f0117 00000000 1 c10e75b8 c046bb2b bf0e56d0 bd79a954 bf71f118 bf33bf7d bf4d8e34 0
case 126 be9629c8 be68fc38 3efa6daa 3e8f1c38 403ab6f6 3f59c3b8 3f800000 00000000 3c21a140 bbf07520 3e87caaa 4046caa3 3f3a64b2 3f800000 00000000 | 3f0b38e2 bf56d53a 00000000 1 403f940f 3f68ef32 3d9ba31d 3d72b7a4 bde6d283 3e3a2a01 bda32a90 0
case 127 3f22bbad be575f04 bef1bb66 3e7ab0b2 c034ade9 bf8ca41a 3f1ed2dc 3f48c6b0 3d29f954 be0d0981 3e4e33d0 c02767f8 bf97cf27 bf607f45 3ef610b3 | 3efab6a3 bf5f3530 00000000 1 c02a7aff bf681c80 3e232e99 3e44aed1 bd44c1dc 3e8f039c bdadb55e 0
case 128 3e0858fe 3f1d78c5 3acb57c0 bf13853d bea42348 be5c15b8 bf7fa217 3d5b33a5 3e0cb0b2 bdd5a278 3e3990a6 beb73f0f be58572a 3f7ce5e3 be1eed2b | 3f7c9562 be26bc8b 00000000 1 bed1a3a6 be9d64ae bdb60179 bdbd6746 bd5324ba bdc4e462 bc800940 0
case 129 bdb12a92 3e05cfbd bdb21c2e 3e06b863 40d66430 c0e4ab4a 3c4a3f9f 3f7ffb02 3d8c1918 bddfb9c0 3fac4fd9 40d771d9 c0e88725 bf07d91b 3f58fb75 | 3f709e8f 3eaecb83 00000000 1 40c1774e c0ed746f bf27670d be8c9256 bf2fd455 be1da94c bf8e3945 0
case 130 3d95339a bed8ead4 be7b7dc9 3ef8a02c 3eb33568 402007c0 3f800000 00000000 bab70180 bdbedf18 3e8b5630 3ea750ca 4021ea16 3f800000 00000000 | 3f719c50 3ea93cc2 00000000 1 3e3caa7f 4018c931 be29c051 bde7d1ee be11f715 be120e57 be7b0f52 0
case 131 3e43e6a5 beda258a be7afa79 3f123ab6 3fd504a8 c00c1e98 bf4eea3d 3f16bd23 3cb037c8 be133bf4 3ec38c20 3fd83921 c00a5538 be319e25 bf7c1e99 | bf79fd7a 3e5c942a 00000000 1 3fe4fac0 c00d8d21 3dff6180 bcb744ae 3dcc19f0 bd4dfa57 be863098 0
case 132 3eb18a7e bde850b6 be1514c6 3acc0780 bf020604 3edfc3c0 bf4e475b 3f179bbc be061240 bde10dc2 3e6a7808 bebce0cf be99952c 3f7fca73 bd258e47 | 00000000 00000000 00000000 0
case 133 bf4561f6 bead651c 3fa69843 3f8035b1 be723200 411244e4 bf64b9a6 3ee5f698 3ec21f84 bec1a383 3f3fc700 40012d60 4100ff2c be899863 3f769519 | 00000000 00000000 00000000 0
case 134 be9789e6 bf1d764c 3db42577 3f405c6c 403f66fe 3d4ea180 3f800000 00000000 3db7c8a2 bda90bb9 3e63a2fb 40207cd7 bf05f626 3f800000 00000000 | bf6bc1dd bec78b66 00000000 1 402fe587 bf0abaee be781776 bf17a506 3e768afa bc989900 bdeed3db 0
case 135 3efbc239 3e32aa86 bf08cfbf be115478 c025e9cc c01bccb8 3e828d4e 3f7789b8 bdb5fbd3 3c91fdf0 3ec6d2a8 bffa4b9c c002756c 3f7ffefd 3bb655e1 | 00000000 00000000 00000000 0
case 136 beb64047 beb66500 3e1cf456 3ef00ac0 bf7b32f6 be643dc8 bf4ba33b 3f1b2342 3d8651da 3c553b40 3e75431e c05dde34 4074cc18 be5fdba5 bf79ced2 | 00000000 00000000 00000000 0
case 137 c0104813 3e2c63ca 3ff6d712 bf172d4a 407ad8f4 4080d782 3e4cc0ea 3f7ad483 3eec27d8 bec28385 00000000 c0af43b8 415b8293 3f5e30e9 3efe4cd3 | 00000000 00000000 00000000 0
case 138 3f1d4e91 be33f2ea bf4e15ff 3e7f8080 3ffe6300 3f677fd0 3f800000 00000000 bd0a2c48 3db2a566 3e2e5090 3ecd580c 40ac35dc 3f800000 00000000 | 00000000 00000000 00000000 0
case 139 3e872efe 3f0c0e7b bdcb201d bf12e015 c02433c8 3e6b39e0 bf3acf94 bf2f094a bdbfebe7 3dae422a 3ebd1714 3faa57ba c01f29a3 3ed5afbb bf68a361 | 00000000 00000000 00000000 0
case 140 be7c56a3 3ef8e919 3e0b885b bea48789 3fb8b5f0 3f011c00 be53f717 3f7a7498 3d77b6bc 3db00094 3d9c459f 3fa4362b 3eb14d24 bd301808 3f7fc368 | bf1b252e 3f4ba1c6 00000000 1 3f9f20d0 3ead968c be4ca904 be2942e9 bd22ab70 bbeda620 3c0741a0 0
case 141 3c5cf240 3fb344b1 beeb765b bf875199 406480c8 c04e329c bf7d89c4 3e0dabac 3efc8bfa 3e5975b4 3f9670ed 4089efbd c046721c bdc35737 3f7ed536 | 3f7243cf bea57428 00000000 1 405f591f c01c07a9 bda4f516 3f48abcc bf52196b 3f29a9cc bf94c89b 0
case 142 3e112af0 3f2bf497 3d9996cd bf1cd7d3 3f671fd0 c003a287 3f800000 00000000 3d931b8e 3d4d7cd0 3e863ea6 3f837c67 c00fa230 3f800000 00000000 | 3f7fa79f bd54a6b6 00000000 1 3f6b85af c00bd3ba 3c8cbbd8 be03132f bddb98fa 3d739d84 be29c74c 0
case 143 3e8956a4 3ed61c08 be1e455e bea4f858 c0103ba0 bf9a2435 3eb568e0 3f6f6469 bd8c0518 3ddbac20 3e2a5488 c014869d bf7d4d52 bf537c59 bf104189 | 3f457ab2 3f22e79a 00000000 1 c0140dcb bf90a10c bd748ad0 3d98328c 3bf1a380 be0fd31a bd47472e 0
case 144 bec2fd15 be57c264 3ed6b1bd 3e96a9a2 3efac3f8 bee2f3c4 3f3b0fe1 bf2ec492 3db0d3c8 3d213c74 3e97ad49 3f060aa4 beeb3e40 3eca9cd3 3f6b1a29 | 3e3fdb5a 3f7b7772 00000000 1 3efa1156 bf09e603 bab2a220 bdc36108 bd101f91 bda23718 be73c519 0
case 145 3eba08ed bd945505 3eba0efb bd92494b be011100 c1130ce6 3f7facfd 3d4e194b be81a304 3e5dc5bc 3faf851f be3ebd64 c1114c40 be14d814 3f7d47fa | bf7b38e6 be44e956 00000000 1 3f1c77ef c112c0c2 3f3cbc2f 3c984839 3f4c2748 bdba40f2 bf416a2e 0
case 146 3db31d28 bf10d6b8 bcae786a 3f0bedd4 bfd8acb2 3f74e7ec 3f800000 00000000 3c16d460 3cb697d0 3e04533c bfd6f525 3f7ddeea 3f800000 00000000 | bf7ec91d bdc73eb5 00000000 1 bfcd4cb7 3f829e06 3db5ffb5 3d82a106 3d9a86e5 3ceba458 be005493 0
case 147 3e8adf7b bf241c57 bea521c9 3ee969a3 3feb78d8 bfb13a62 3f6f0ea4 beb72b1b 3dcb7d98 be05f573 3e026438 3feef025 bfb48c79 3f7fa31b 3d5a02db | 00000000 00000000 00000000 0
case 148 3e8d49f4 bdcc147d be33474c bdd5ff2f bed567a8 3ee6e3d0 3f239e73 3f44e34e 3d0a35e4 bd779056 3ed78748 3ea60af4 3f10ebee 3f7e6a5e 3de38251 | 00000000 00000000 00000000 0
case 149 be66d30c 3f3ff378 3ec48b28 bf35bfe2 408fa0a0 3f8bbb18 bedab178 3f6778d9 3e74ede8 bd04f108 3f0ce59a 40502dc4 bf8a74b8 3f6372e9 3eeaf8f2 | 00000000 00000000 00000000 0
case 150 beb99674 3c94e6c4 3ea9e93a 3e3e5afc 40076290 3f6e57d8 3f800000 00000000 bd483cc4 bb66b500 3eb09bfc 3ffbdf4c 3fd54b0c 3f800000 00000000 | 00000000 00000000 00000000 0
case 151 3f22714b be200b6d bf0c9393 3e191393 3f8c1418 3ef895f0 bf7ff387 3c9fce00 be0d70b5 ba956780 3e402cb4 3eb0680e 3f0081c0 bed49353 bf68e47b | bf6c175e bec5f568 00000000 1 3f04b9db 3f2d6b24 bf136e55 3e4480b1 3e321750 3e33a591 bdf65c97 0
case 152 3f009a83 bd75efe1 bf0454fd be0098eb bf490492 bf4aae95 3ea374d2 bf729a86 3dd5ba78 3d0cc2b4 3e0cba4d 3ebbb640 c0accc68 bec9d974 3f6b4429 | 00000000 00000000 00000000 0
case 153 be94a458 3f9aafd4 3f794b0a bfcf6cfe 3fa92f50 c0f48269 bf633c3e beebcc24 bdb6896c 3ec7c390 00000000 c0b45a61 c199adb0 bf79ad02 3e62340e | 00000000 00000000 00000000 0
case 154 beb0ac58 bf22889c 3eb38476 3edcbb1b c02c97d9 3fd972b4 3f800000 00000000 bc78c860 3da29d46 3e98404a c0de317c bedba0b0 3f800000 00000000 | 00000000 00000000 00000000 0
case 155 bee6f8e6 3dff2b9c 3ea361de 3dc5cf8a bf7dabfc bff61cec 3f67da0a bed91421 bd2942ec bb764ec0 3ede60d6 c0122080 402979d6 be91c7da 3f75675c | 00000000 00000000 00000000 0
case 156 be0e74e2 3e20dd03 3e27b87c be95ed5a bef08be0 bf22b846 3f187c2b 3f4da1a9 bc673b60 bd19cf9a 3ed6bcc6 be8187da bf321a55 bf0b267f 3f56e124 | bd3a6150 bf7fbc1c 00000000 1 be50e01c bef1748b 3e881bd2 3e27f802 3d48be60 3e65803e bed083fb 0
case 157 bde7a96e bf9265da bd440a45 3ed2a379 40838486 bea9d960 bf4b5ec1 bf1b7cfc 3ecca79a 3de089c0 3ebedf7e 409b7f20 beb9f079 3f153d9b bf4fff85 | 00000000 00000000 00000000 0
case 158 3ebd77a8 3ee461d6 befc040c bef4a810 3e7fda00 bfa7804e 3f800000 00000000 bdb930a6 bca5de18 3e207974 3ef31f0a bfa7c1ca 3f800000 00000000 | 3f3b276e bf2eab58 00000000 1 3e8be9ec bf9d11fd 3cbfcec0 3da6e512 be4e6a3c 3daafcd2 bc191e60 0
case 159 bec8611d 3e02ef84 3e9d8147 bd4daacc c03768ef 3f1e6b40 3f78d7e0 be706f26 bccc1e68 3ce8d840 3ea35360 c02be943 3f411799 bf7fa4cb 3d5806df | 3eef5d3a 3f624d18 00000000 1 c03198e5 3f032a26 3dba0140 bdda08cc bdb5f440 be77b5ca be21ab48 0
case 160 bf0335fe bf14b55f 3f0241a2 3ec715e0 3f3e427c beb18b60 bf37de7c 3f321fc0 bd100f86 3e007702 3e0bee4c 3f46580f bebbe627 bf5ac625 3f04f17f | 00000000 00000000 00000000 0
case 161 bea0de8d bcf7ab07 bea0c2f7 bcefa8d9 40e5af4c c0720ee4 bec2bad0 3f6cc2fb 3e4ec59c bcdf21c0 3ef972f3 40e2012b c0753151 be6e6264 bf78f76b | bf7e2bf0 3df45520 00000000 1 40ecc07e c0824064 3e62264d be938f23 3eabf536 be74f776 be19696c 0
case 162 becffbb0 bd16f040 3e8ca576 bdb43579 4000f682 4011cda4 3f800000 00000000 3d8c951a bdfba45e 3e0ab649 3ffd271d 40120ea7 3f800000 00000000 | bd9963ad bf7f47ee 00000000 1 4003696d 401014ca 3d1cbaab bcdc6d00 3d9abbc6 bcfcee80 bdb0f7f3 0
case 163 bee63766 3eb5693f 3f28aec5 befa8fe3 4005858c becad598 bf7eced5 3dc568d2 bd40964e 3b75b500 3eb64f86 40047aa9 beb98a59 bf57b85b 3f09d7ec | 3f2df454 3f3bd196 00000000 1 3ffd1173 bf082100 bddf9a52 be0ad8cf bdbe3df2 be2d6f4d bea7f8d9 0
case 164 3dc20d8a 3f439927 3d83f7d0 bf382383 3f3b8478 3e9adb38 3f10ca9d 3f531e97 3b2ab480 3c871dd8 3e7f1231 3f16a7a2 beddfff8 3edb71b2 bf674b58 | 00000000 00000000 00000000 0
case 165 bf60b5b8 bf55af8a 3fa58b86 3ee41087 3ffd4000 40e6094c bf03e2dd 3f5b69b6 3dea69d8 3eabaf58 3f355b6b bf056c20 40e74848 3eea2b25 bf63a7f4 | 00000000 00000000 00000000 0
case 166 be96374e bed293e6 3e9ee1de 3ead79e8 3fffbf00 bfa87652 3f800000 00000000 bdea8108 3cf60b80 3e811c9c 3faf0c9d bfdc7661 3f800000 00000000 | 00000000 00000000 00000000 0
case 167 beba460f 3d3a476a 3e966e47 be06378a 3e4df9a0 bfd51caa 3f64fa28 bee4f54a 3d247fb4 3aa76780 3e3b34aa 3e1d4498 bf6a9c46 3f0a5927 3f576590 | 00000000 00000000 00000000 0
case 168 be3dfe77 bf10273a 3e26d6e3 3efad343 bd223140 3fbd89fc 3f00aa30 bf5d513e bda1a877 bbd3a800 3ed4c644 bf2d2e94 40c6031f 3ef8d396 3f5fbc27 | 00000000 00000000 00000000 0
case 169 bfb12848 3ed7d6e2 3ffee022 bef4ea1c c00ada16 40c43a08 bf184ed5 3f4dc341 3da7b950 beba4b74 00000000 40db4ec3 c07a3808 bf4ec552 3f16efc5 | 00000000 00000000 00000000 0
case 170 becbf5ed be7c3112 3ec5abc7 3ea57f25 bfd420a8 bf9d5a3b 3f800000 00000000 bcd8cb4c 3e13df28 3ebcae14 bf16cfca 405989b2 3f800000 00000000 | 00000000 00000000 00000000 0
case 171 3f0ce2bf 3d9d7f15 bed915e3 bda2e1ed 4031b3e4 3eda95b0 be5cfbef bf79f7be bdc20a52 3e02896c 3e8b5c30 bfd36c14 40094a20 be885e50 bf76c0b5 | 00000000 00000000 00000000 0
case 172 3b49c660 3ebf19d0 be1cfae8 beb2e79e 3e82cf08 3fb17ae4 3f7ff080 3cb227b0 bc4d21a0 3d67a9d4 3e2c3a8c 3d0296a4 3fb4aef6 3f198b97 bf4cd74f | bf7b53c2 3e42c1c0 00000000 1 3e57fc2f 3fb6cde0 bd368785 3d2a5f76 3e375686 3c87ba6c bd46d2d0 0
case 173 3fb41865 bfea151a bf8aec53 3ffc027e 3e115140 3f6fc5e0 bf7dac38 3e09c333 3ec2fb86 bdbfe980 3eb4e96a 3f4fbe76 3fa32208 3ea98f7c 3f718dcf | 00000000 00000000 00000000 0
case 174 3deeae6f 3f064e14 bd9fd49d bec9d255 bf09fb14 3fed2ed8 3f800000 00000000 3d4fd9a4 3e024638 3ebf6798 bf439488 3fed4ff4 3f800000 00000000 | bf7a71fd 3e542839 00000000 1 bedcdf96 3ff5f4d3 3ddc5a46 3d8c5faa 3eaa497a 3d8a4dea be2f97dc 0
case 175 3d691330 bf000865 be528564 3eb772b8 3fc89290 3f5a53b8 3dfc224f 3f7e0d74 3d499ffc bd47998e 3e4d8bce 3fe1fc9c 3f756c71 bd6babf0 3f7f936f | be30994a 3f7c2a0c 00000000 1 3fec54b3 3f4f8d6e 3e8f088c bd2c64a2 3da58170 be177c0c 3b8fb9c0 0
case 176 3eec72e4 bed3cb6a be7da2a8 3e800da8 bf8d059a 3dbbf980 3ebf3e68 3f6d7892 bdd68dae 3d46365c 3e3873a4 bf912989 3d951e96 3f266dc3 bf4284c0 | bed82cba 3f681011 00000000 1 bf8dafb8 3d6ec36c bbaa1e7d bd092f94 3cde7421 bc6de700 bdaa5c34 0
case 177 3e916ba6 bdcc3190 3e9109a2 bdcd8da8 c0341068 c0513ea2 bf64f1c0 bee516e3 3e91fb24 3e52e5a4 3f9de33c c038d27f c057ad03 3f51cd6d 3f12b17d | 3f48c1b7 3f1ed922 00000000 1 c05b3d87 c06381c4 bf1cb47c be92190e bf09ac20 be3d4c0c bf4cee34 0
case 178 be956c24 3e4e07a3 3ed9a8c6 bea9a7d6 bd23e140 3eb5d568 3f800000 00000000 3e0bd64c bcb924a8 3e79c327 bc6a35e6 3ec3cefe 3f800000 00000000 | 3f18a6f2 3f4d81ea 00000000 1 3c81c520 3e5dc36a 3d64c3d0 be0de766 3cf6e013 be29da92 be060294 0
case 179 be997a5d 3e5ab322 3e2a010e bcbb51a8 bfebded8 bff71eee bf13627d 3f51513d 3d5c4cec 3df86f8c 3ee268de bfe718fa bff69c95 3f7a8239 be52f4d6 | 3f7d5bf0 3e12b466 00000000 1 c0026d86 bfee94ef be47e1a0 3d889fe9 be6e1090 3d807a59 be83f5e6 0
case 180 3f32372b 3e729370 bef289f2 bec68a06 bf87e390 bde7a9d0 bf7e21dc 3df6f07e bd870842 3d7a86c0 3dcd8a02 bf58939c bf54d9f6 bf7e6f45 3de2225e | 00000000 00000000 00000000 0
case 181 3f63dc33 3f3dbdd5 bf153b15 bf1f8919 3e827920 40488890 3f4f6b21 bf160b95 3d921928 be8de71c 3f83cec8 3fcb526a 40a7eeee 3f02855d 3f5c3a50 | 00000000 00000000 00000000 0
case 182 bda1e977 bec0e05b bdc4bc25 3ee1204f bf9f6a40 c01590ab 3f800000 00000000 3da8ba20 be08ebdf 3eb43382 bf583ec0 c03e23ae 3f800000 00000000 | 00000000 00000000 00000000 0
case 183 3ed6708c bf015170 bee6a694 3f0abd10 bfac1858 bfb35066 bf1e6b79 bf49184c bda4954a bde49dca 3e534cda bfe9764a bf52fa84 bf6138c5 bef366f9 | 00000000 00000000 00000000 0
case 184 bf0ac761 3df37515 3f1b1375 bcb4495c 3f635cc8 bcde61c0 bf7a7925 3e53a104 3e1514c4 3d7c19f8 3e17e564 bfb1adb6 40848ab2 3e9cac49 3f73b84d | 00000000 00000000 00000000 0
case 185 3fd353e4 3fb15034 bf8b6794 bf5f0ce3 40338468 409e8cbe 3cb35a1f 3f7ff04c baf20200 3eec17d8 00000000 c106a75a 41475fd9 bf7c319e be2fec07 | 00000000 00000000 00000000 0
case 186 bf2bc616 3e04211a 3f05a056 bcf3ea7c 3d885120 3fc23e84 3f800000 00000000 3d2192dc bc0dd450 3ebbbf90 bfc60793 c03ccc4c 3f800000 00000000 | 00000000 00000000 00000000 0
case 187 3e485905 bea6f756 bec13424 3f0c0742 3fe3b0c8 3f28af50 3e0197d0 3f7df10f bd25b2e6 3d6ed37c 3ee28e5e 4036e470 c07de23a 3f4fbbd7 bf159bc3 | 00000000 00000000 00000000 0
case 188 beb19dc4 bd86ff22 3ec44802 3a433f40 3f8d629c bf5930b2 bf43ab39 3f25132a 3db2d566 3d80e1ce 3ddf3625 3f614707 bf5cb357 be97f621 bf7476ee | 00000000 00000000 00000000 0
case 189 3fcd3175 3f199667 bfb54405 beb61ed6 c11ef97e c06fc0e0 bf493d25 bf1e3ca6 3e577db0 bd22f148 3e8f911f c11b0bab c08e8dc8 3f2b9e59 3f3df499 | 00000000 00000000 00000000 0
case 190 3ee8d648 3eea9ffa bf04cf85 bee9ac12 bf05db0c bff3a6e8 3f800000 00000000 3cac0490 be185ccb 3dc2f7ed beb78c66 c003a8a0 3f800000 00000000 | 00000000 00000000 00000000 0
case 191 3ec38222 bf1034f7 bee2b97a 3ee125ef bff18ae3 c01962b3 3f2cfefe bf3cb3a8 bcf7c524 bc846aa0 3e975048 bffde415 c026650e 3e343b90 3f7c00e6 | 3f7d7890 be0f94e4 00000000 1 c007f977 c0271b92 be73405b be5b8df2 be1076cb bc368420 be91c567 0
case 192 be133922 3f04bab5 3d5b75a4 bf050243 bf0e001c 3f791cf0 3f721c84 bea65998 3dc40bee bdbd5f14 3ed4c1c4 bf0562cc 3f74e052 bf7acd98 3e4d4864 | bf7d62ca 3e11f69b 00000000 1 bec57530 3f849b7b 3e2d1611 3d80d02e 3e0aa0d1 3da2b51e becf9be0 0
